V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
6,73,0.2462,0.2348,0.1553,-1.208235294117647,-1.4161061946902656,-0.9758447488584475,264,0
6,74,0.2653,0.1989,0.0875,-1.1778097982708933,-1.1072752808988764,-0.4680654761904762,377,0
6,75,0.2192,0.1652,0.0871,-1.0908620689655173,-1.0253424657534245,-0.6396206896551725,333,0
6,76,0.2267,0.1267,0.0733,-0.996678445229682,-0.8250883392226148,-0.3478014184397163,300,0
6,77,0.2104,0.1909,0.0744,-1.1021722846441948,-1.1125650557620816,-0.6407142857142858,309,0
6,78,0.209,0.2315,0.1383,-1.0490000000000002,-1.3038970588235295,-0.9668283582089553,311,0
6,79,0.2222,0.2157,0.1176,-1.2027272727272726,-1.2964925373134328,-0.9116541353383458,153,0
6,80,0.2333,0.1758,0.1242,-1.260783582089552,-1.226557971014493,-0.726842105263158,330,0
6,82,0.2415,0.1871,0.1054,-1.25272,-1.1152173913043477,-0.5356224899598394,294,0
6,83,0.1548,0.1071,0.0714,-0.8752813852813853,-0.6864224137931034,-0.30291304347826087,252,0
6,84,0.2239,0.1429,0.0772,-1.252145922746781,-0.9548523206751055,-0.38685344827586204,259,0
6,85,0.2481,0.1977,0.0853,-1.1426609442060087,-0.9562869198312236,-0.2873593073593073,258,0
6,86,0.1711,0.1754,0.1228,-0.8273714285714285,-1.0994857142857142,-0.8234302325581395,228,0
6,87,0.3728,0.3234,0.1228,-1.6354991243432575,-1.5904145077720209,-0.7751075268817205,668,0
6,88,0.2776,0.1739,0.0736,-1.1880935251798561,-0.9233096085409253,-0.3080935251798561,299,0
6,89,0.2812,0.1938,0.0833,-1.309906976744186,-1.0442954545454546,-0.31911007025761123,480,0
6,865,0.2493,0.1869,0.0534,-1.3502758620689654,-1.170808080808081,-0.5819310344827586,337,0
6,866,0.2021,0.1429,0.0906,-1.1453305785123968,-1.1712757201646091,-0.7373443983402489,287,0
7,837,0.2891,0.218,0.109,-1.2802793296089385,-1.2463934426229508,-0.5883815028901734,211,0
7,838,0.3022,0.2537,0.1381,-1.3311637931034481,-1.2348945147679327,-0.5171555555555556,268,0
7,839,0.2251,0.1697,0.048,-1.2473611111111111,-0.991336405529954,-0.35174528301886787,271,0
7,840,0.2208,0.1526,0.0649,-1.1460754716981132,-0.9434328358208955,-0.3637121212121212,308,0
7,841,0.2843,0.1806,0.0669,-1.5239035087719297,-1.2216949152542373,-0.4259911894273128,299,0
7,842,0.2455,0.213,0.1047,-1.1121115537848605,-1.1183464566929133,-0.6389156626506024,277,0
7,843,0.2677,0.2416,0.1487,-1.169681818181818,-1.2956637168141594,-0.8132380952380952,269,0
7,844,0.2857,0.151,0.0735,-1.342608695652174,-0.8896682464454976,-0.17107317073170733,245,0
7,845,0.1861,0.1818,0.1169,-0.7648792270531402,-0.921367924528302,-0.49687830687830686,231,0
7,846,0.2418,0.1516,0.0943,-1.0548341232227487,-0.9212037037037036,-0.4063333333333333,244,0
7,847,0.2898,0.1592,0.0701,-1.4406949806949807,-1.0758490566037737,-0.32919230769230773,314,0
8,99,0.2251,0.2382,0.2042,-0.8548396501457726,-1.2155555555555555,-0.7427384615384615,382,0
8,100,0.2233,0.1893,0.1748,-0.6898157894736842,-1.0566237113402062,-0.8195956873315363,412,0
8,101,0.2082,0.2651,0.2242,-0.7606796116504855,-1.283352380952381,-0.9331790744466801,562,0
8,102,0.2264,0.2047,0.1417,-0.9890410958904109,-1.1080439560439561,-0.667925407925408,508,0
8,103,0.1846,0.1818,0.1212,-0.6362345679012346,-0.9083132530120482,-0.5492356687898089,363,0
8,104,0.2873,0.2083,0.1338,-1.3926455026455025,-1.3392987012987012,-0.7242592592592592,456,0
8,105,0.3532,0.2579,0.1052,-1.6014187643020596,-1.3295739910313902,-0.5688558352402746,504,0
8,106,0.4106,0.2885,0.1221,-1.6830357142857142,-1.5095348837209301,-0.5689285714285715,565,0
8,107,0.3369,0.3456,0.2354,-1.4188701923076923,-1.6825768321513004,-1.0158620689655173,463,0
8,108,0.2174,0.1981,0.1667,-0.8866167664670659,-1.2840117994100295,-0.8706230529595016,414,0
8,109,0.3417,0.3073,0.1835,-1.4976202531645568,-1.5883541147132167,-0.9115284974093265,436,0
8,110,0.2248,0.1835,0.1344,-1.0957803468208092,-1.1344057971014494,-0.6252958579881657,387,0
8,111,0.1982,0.1686,0.1116,-0.8276377952755906,-0.9125436408977556,-0.5348556430446194,439,0
8,112,0.2909,0.2404,0.1414,-0.9652242152466368,-1.1554385964912282,-0.726326530612245,495,0
8,113,0.3089,0.2443,0.1239,-1.2314179104477612,-1.2729562043795621,-0.5832386363636364,573,0
8,114,0.2376,0.2967,0.2217,-0.7905128205128205,-1.4327638190954775,-1.1363685152057246,627,0
8,115,0.3793,0.3073,0.1049,-1.5599841521394613,-1.52597503900156,-0.7043247588424437,667,0
8,116,0.3711,0.3191,0.1187,-1.6432264529058116,-1.5379296875,-0.6698214285714286,539,0
8,117,0.281,0.281,0.1452,-1.314140625,-1.3046272493573265,-0.6315303430079156,420,0
8,118,0.3439,0.3519,0.1693,-1.4413841807909604,-1.6422038567493114,-0.9892857142857143,378,0
8,119,0.2018,0.2139,0.1747,-0.8830272108843538,-1.2648160535117057,-0.900421052631579,332,0
8,120,0.2825,0.241,0.1496,-1.1346945337620578,-1.476225806451613,-0.7966202090592335,361,0
8,121,0.2745,0.2767,0.1699,-1.1951558752997602,-1.4698360655737706,-0.9351492537313433,459,0
8,122,0.2,0.2135,0.1486,-1.0940243902439024,-1.221909090909091,-0.8041795665634675,370,0
8,123,0.272,0.217,0.1429,-0.9614197530864198,-1.2796363636363637,-0.6992405063291139,364,0
8,124,0.3008,0.2431,0.1479,-1.468276762402089,-1.3566062176165803,-0.717597911227154,399,0
8,125,0.4053,0.3544,0.1553,-1.6379892761394104,-1.6614588859416446,-0.8219512195121952,412,0
8,126,0.2701,0.2299,0.1207,-1.2935472972972972,-1.3438538205980066,-0.7957482993197279,348,0
8,127,0.2653,0.2566,0.1895,-1.2147868852459016,-1.3932601880877742,-0.9022742474916388,343,0
8,128,0.4132,0.3736,0.1956,-1.5487469879518072,-1.677929411764706,-1.056560975609756,455,0
8,129,0.2993,0.3441,0.2394,-1.0997406340057638,-1.621132596685083,-1.2796745562130176,401,0
8,130,0.3205,0.2436,0.0769,-1.4281420765027324,-1.1838524590163935,-0.44702479338842976,390,0
8,131,0.253,0.2697,0.2053,-1.1587637362637364,-1.5303551912568307,-1.0163636363636364,419,0
9,132,0.2731,0.253,0.1888,-0.9835824175824175,-1.3561810154525387,-0.9097647058823529,498,0
9,134,0.3303,0.1995,0.0826,-1.5203636363636364,-1.266349614395887,-0.46549222797927464,436,0
9,136,0.3173,0.2596,0.1394,-1.5351044776119402,-1.5209763313609468,-0.864191616766467,416,0
