ADM1_NAME,ADM2_NAME,mean
Manipur,Ukhrul,0.6982174830047262
Meghalaya,East Garo Hills,0.7123594568241796
Meghalaya,Jaintia Hills,0.6498419510261372
Meghalaya,West Khasi Hills,0.6637651434494525
Mizoram,Lawngtlai,0.7531128802140534
Nagaland,Mokokchung,0.7559582650339904
Nagaland,Mon,0.7285796146739821
Nagaland,Phek,0.6899885818152458
Nagaland,Tuensang,0.6997406702084408
Nagaland,Wokha,0.7641071129413574
Nagaland,Zunheboto,0.7343937011774787
Orissa,Sundargarh,0.5282715559710216
Punjab,Amritsar,0.5249088802128219
Punjab,Firozpur,0.5053906091783611
Punjab,Gurdaspur,0.5514840922504313
Punjab,Jalandhar,0.5257833772843263
Punjab,Kapurthala,0.5287904700769747
Punjab,Ludhiana,0.5147722213862673
Punjab,Sangrur,0.5355112220311973
Rajasthan,Ajmer,0.3755464283699927
Rajasthan,Alwar,0.42946519879760725
Rajasthan,Banswara,0.43178221910659514
Rajasthan,Barmer,0.19518236197048763
Rajasthan,Bhilwara,0.40973116651249397
Rajasthan,Bikaner,0.16742976200167906
Rajasthan,Bundi,0.4165108125791406
Rajasthan,Chittaurgarh,0.44264333947506174
Rajasthan,Churu,0.23165073159676167
Rajasthan,Dungarpur,0.4326895976839337
Rajasthan,Jaisalmer,0.12932385331094226
Rajasthan,Jalor,0.31496843229466526
Rajasthan,Jhalawar,0.4325961387565012
Rajasthan,Jhunjhunun,0.3503548505275792
Rajasthan,Jodhpur,0.23662483047591518
Rajasthan,Nagaur,0.28827111406901834
Rajasthan,Pali,0.35053817459770537
Rajasthan,Sikar,0.347164241866765
Rajasthan,Sirohi,0.4160367828493776
Rajasthan,Tonk,0.3833367193939749
Sikkim,East,0.5702936409957178
Sikkim,North Sikkim,0.22732939253802148
Sikkim,South Sikkim,0.599742411309769
Sikkim,West Sikkim,0.4837363569420052
Tripura,West Tripura,0.673907480616394
West Bengal,Bankura,0.527260055210846
West Bengal,Barddhaman,0.49133545957855645
West Bengal,Birbhum,0.4858206128599177
West Bengal,Darjiling,0.6352867995504957
West Bengal,Haora,0.5201147980905119
West Bengal,Hugli,0.5408832390860994
West Bengal,Jalpaiguri,0.597199976409358
West Bengal,Kochbihar,0.5391930701116276
West Bengal,Maldah,0.5057595753568055
West Bengal,Murshidabad,0.5016300858625828
West Bengal,Nadia,0.561294405917616
West Bengal,Puruliya,0.5020912978619202
West Bengal,Kolkata,0.29651358364611147
West Bengal,North 24 Parganas,0.4951864619499317
West Bengal,South 24 Parganas,0.4818303474709699
Arunachal Pradesh,East Siang,0.6032819327971164
Arunachal Pradesh,Lohit,0.664930347580643
Arunachal Pradesh,Lower Subansiri,0.7134268786217187
Arunachal Pradesh,Tirap,0.7321990633779069
Arunachal Pradesh,West Siang,0.7416537126744794
Arunachal Pradesh,Changlang,0.7019345585811322
Arunachal Pradesh,Lower Dibang Valley,0.6284916318036039
Arunachal Pradesh,Papum Pare,0.7130318359771181
Bihar,Aurangabad,0.46575814160076695
Bihar,Begusarai,0.42169356097614785
Bihar,Darbhanga,0.46173326714689245
Bihar,Gaya,0.4834174086002606
Bihar,Gopalganj,0.43717454811292017
Bihar,Jehanabad,0.47275288678648514
Bihar,Katihar,0.4920938378250793
Bihar,Khagaria,0.4412772384561917
Bihar,Madhubani,0.4875083076459657
Bihar,Madhepura,0.5351216351199459
Bihar,Muzaffarpur,0.46100867877508245
Bihar,Nalanda,0.48453932059170746
Bihar,Nawada,0.5007311460587971
Bihar,Pashchim Champaran,0.5011035811386767
Bihar,Patna,0.41839482743533635
Bihar,Purba Champaran,0.4595565599072895
Bihar,Purnia,0.5316975486433724
Bihar,Samastipur,0.45907700885164876
Bihar,Saran,0.42815226743359347
Bihar,Siwan,0.44254494709324843
Bihar,Vaishali,0.4254791956230212
Bihar,Araria,0.5396926925363263
